artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"Catalusci, Robert",2000,City Department : MTA : Muni Structures Facility : 700 Pennsylvania Ave.,Untitled,Potrero Hill,700 Pennsylvania Ave,,,,,,,
"Cervantes, Morales and Poethig",1969,Public Display : District 8 : Youth Guidance Center : 375 Woodside Ave.,Roots and Branches,,375 Woodside Ave,,,,,,,
"Chagoya, Enrique",1969,Public Display : District 6 : Main Library,Authors of Latin American Roots,,,,,,,,,
"Chagoya, Enrique",2000,"Airport : IT : Boarding Area A, Gate A8",Love Letters,SFO,"International Terminal, Gate A8",,,,,,,
"Chamberlain, Ann",1996,"City Department : DPH : SFGH : Parking Garage, Facade",Untitled Photographic Images,Potrero Hill,"General Hospital Parking Garage, 2500 24th St.",,,,,,,
"Chamberlain, Ann and Hamilton, Ann",1996,"Public Display : District 6 : SFPL, Main : 100 Larkin : 3rd, 4th and 5th Floors",Untitled,Civic Center,"SF Public Library, Main : 100 Larkin : 3rd, 4th and 5th Floors",,,,,,,
"Chamberlain, Ann and Ho0d, Walter",2007-2008,Public Display : District 3 : Embarcadero : Justin Herman Plaza,Abraham Lincoln Brigade National Monument,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : South Residence : L6 : Northeast Wall,Earth,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : South Residence : L6 : East Wall,Untitled,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : South Residence : L6 : Northwest Wall,Water,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : North Residence : L6 : East Wall,Untitled,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",1969,City Department : Laguna Honda Hospital : North and South Residences : L6,"Earth, Air, Fire, Water",,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : South Residence : L6 : Southeast Wall,Air,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : North Residence : L6 : Southwest Wall,Fire,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : North Residence : L6 : Northeast Wall,Earth,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : North Residence : L6 : Northwest Wall,Water,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : South Residence : L6 : Southwest Wall,Fire,,,,,,,,,
"Chamberlain, Ann and Lubell, Bernie",2009-2010,City Department : Laguna Honda : North Residence : L6 : Southeast Wall,Air,,,,,,,,,
"Champagne, Lee Roy",1969,City Department : DPT : Lombard and Fillmore Parking Garage,The Grail,,"Lombard St
",,,,,,,
"Cheng, Carl",1969,"Public Display : District 6 : Sheriff's Facility, 7th and Bryant",Heliostats,,,,,,,,,
"Chesse, Ralph A.",1969,Public Display : District 3 : Coit Tower,Children at Play,,,,,,,,,
"Choi, Man Lin",1982,"Public Display : District 3 : Ferry Park, Embarcadero",Movement: The First 100 Years,,,,,,,,,
"Chomenko, Mary",1989,Public Display : District 4 : Great Highway at Pacheco,Ocean Beach Fossil,Sunset,Great Highway Esplanade at Pacheco,,,,,,,
"Collins, Goto, Reiko",1969,City Department : PUC : San Andreas Water Ozonation Facility,Aqua Pura,,,,,,,,,
"Concha, Jerry",1969,"City Department : SFGH, rooftop",Roof Mural,,,,,,,,,
"Connor, Gerome",1969,"Public Display : District 1 : GGP, Music Concourse",Robert Emmet (1778-1803),,,,,,,,,
"Conrads, Carl H.",1969,"Public Display : District 1 : GGP, south side of JFK",General Henry W. Halleck (1815-1872),,,,,,,,,
"Corliss, Troy",2008,Public Display : District 8 : Upper Noe Recreation Center : 30th and Day Streets,Noe Valley Natives,Noe Valley,"Upper Noe Rec Center, Sanchez & Day",,,,,,,
"Coullaut-Valera, Frederico",1969,"Public Display : District 7 : Sunset Parking Lot, Sunset and Lake Merced",Statue of King Carlos III,,,,,,,,,
"Cravath, Dorothy and Forbes, Helen",1969,"Public Display : District 4 : SF Zoo, Mother's Building",Noah's Ark,,,,,,,,,
"Cravath, Ruth Wakefield",1969,Public Display : District 6 : City Hall,Mayor Alioto,,,,,,,,,
"Cravath, Ruth Wakefield",1969,"Public Display : District 10 : Candlestick Stadium gates, Jamestown Ave.",Saint Francis,,,,,,,,,
"Cravath, Ruth Wakefield",1969,Public Display : District 6 : City Hall,Angelo J. Rossi (1878-1948),,,,,,,,,
"Cronin, Don",1969,Public Display : District 6 : City Hall,Bust of Michael M. O'Shaugnessy,,,,,,,,,
"Crumpler, Dewey",1977,Airport : T1 Food Court,Untitled,SFO,"Terminal 1, pre-security",,,,,,,
"Crutcher, Colette and Barr, Aileen",2014,Public Display : District 4 : 16th Avenue,16th Avenue Tiled Steps Project,Bayview/Hunters Point,Innes Ave & Northridge Rd.,,,,,,,
Crutcher/Roller,1969,City Department : Oceanview Library,Art Panel,,,,,,,,,
"Crutcher, Collette",2000,"Public Display : District 11 : SFPL, OceanView : 345 Randolph St",Art Panels,Oceanview,"Oceanview Public Library, 345 Randolph St",,,,,,,
Crutcher/Roller,1969,City Department : Oceanview Library,Art Panel,,,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 4 : 19th Ave. at Ulloa, SW corner",Carl G. Larsen,,,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, Music Concourse",Rideout Fountain,,,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, Redwood Memorial Grove",Doughboy,,,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, Music Concourse, east of deYoung",Pool of Enchantment,,,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, Fulton at 8th Ave.",Bear and Lion,,"Fulton
",,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, JFK near 7th Ave.",Robert Burns (1759-1796),,,,,,,,,
"Cummings, M. Earl",1969,Public Display : District 3 : 870 Bush St.,Dennis T. Sullivan (1852-1906) Plaque,,870 Bush St,,,,,,,
"Cummings, M. Earl",1969,"Public Display : District 1 : GGP, Music Concourse, deYoung entrance",Sun Dial,,,,,,,,,
"Cummings, M. Earl",1969,Public Display : District 3 : Columbus Avenue at Powell and Union,Man Drinking Water,,,,,,,,,
"Cummings, M. Earl",ca. 1944,"Public Display : District 1 : GGP, south side of JFK at Rhod. Dell",John McLaren (1846-1943),,,,,,,,,
"Cuneo, Rinaldo",1969,Public Display : District 3 : Coit Tower,Bay Area Hills,,,,,,,,,
"Cunningham, Ben F.",1969,Public Display : District 3 : Coit Tower,Outdoor Life,,,,,,,,,
"Daub, Firmin, Hendrickson Sculpture Group",2008,Public Display : District 6 : City Hall : Supervisor's Rotunda,Harvey Milk Commemorative Bust,Civic Center,"City Hall, Supervisors Rotunda, 1 Dr. Carlton B. Goodlett Pl.",,,,,,,
"Davis, Michael and Schwartzenberg, Susan",2009,Public Display : District 8 : Harvey Milk Center for Recreational Arts : Duboce,"Homage to the Amateur; The American Dream, A Tribute to Harvey Milk; Bio/Obscura",Castro,"Harvey Milk Rec Center, 50 Scott St.",,,,,,,
"Davis, Ron",1978,Airport : Terminal 1 : Foodcourt,Twin Wave,SFO,"Terminal 1, pre-security",,,,,,,
"Davis, Ron",1978,Airport : Terminal 1 : Foodcourt,Wide Wave,SFO,"Terminal 1, pre-security",,,,,,,
"Dean, Mallette (Harold)",1969,Public Display : District 3 : Coit Tower,Stockbroker and Scientist-Inventor,,,,,,,,,
"Defeo, Jay",1974-1975,Museum : deYoung,Loop Series 4: Masquerade in Black,,,,,,,,,
"DeForest, Roy",1978,Airport : Terminal 2 : Gate 51A,Homage to Zane Grey,SFO,"Terminal 2, pre-security",,,,,,,
"Demetrios, Aristedes",1969,City Department : SFPD : Richmond Station : 6th Ave. and Anza : 7th Ave. Minipar,Red Gothic,,,,,,,,,
"Demetrios, Aristides",1969,Public Display : District 11 : CCSF : Phelan Campus : Administration Building,Sentinels,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1994: Staff and Residentes Celebrate the Rededication of the Bell Tower,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1974-1977: Gerald Simon Theater Entertains the Community,,,,,,,,,
"deSoto, Lewis",2000,"Airport : International Terminal, Arrivals",On The Air,SFO,"International Terminal, Arrivals Lobby Floor",,,,,,,
"deSoto, Lewis",2004-2010,City Department : Laguna Honda Hospital : Historic Lobby,1949-1958: Community Activities at Laguna Honda,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1999: Proposition A for the Laguna Honda Project Gets 73% Voter Approval,,,,,,,,,
"deSoto, Lewis",2004-2010,City Department : Laguna Honda Hospital  : Historic Lobby,1947-1954: University of California . . .,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1990-2000: Volunteers Contribute to Life at Laguna Honda,,,,,,,,,
"deSoto, Lewis",1969,Airport : IT : Boarding Areas A and G,"Shining Paths,San Francisco Sister Cities",,,,,,,,,
"deSoto, Lewis",1998,"City Department : Civic Center Courthouse, 400 McAllister : Jury Assembly Room :",Jury Assembly Room,Civic Center,"Civic Center Courthouse, Jury Assembly Room, lower level, 400 McAllister St.",,,,,,,
"deSoto, Lewis",2004-2010,City Department : Laguna Honda Hospital : Link Building : L1,Woven,Forest Hill,"Laguna Honda Hospital, 365 Laguna Honda",,,,,,,
"deSoto, Lewis",2004-2010,City Department : Laguna Honda Hospital : Historic Lobby,1929-1941: Patient Care During the Great Depression,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1909: President Theodore Roosevelt Visits the Relief Home at Laguna Honda,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1908: The Construction of Clarendon Hall,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,"1926: Mayor James Rolf, Jr. Dedicates the Laguna Honda Main Hospital Building",,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,"1947-1954: University of California, San Francisco . . .",,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1929-1941: Patient Care During the Great Depression,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1949-1958: Community Activities at Laguna Honda,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,1865-1906: The Foundation of the Almshouse and Relief Home at Laguna Honda,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,"1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered",,,,,,,,,
