artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"Tchakalian, Sam",1969,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Hitwood,,,,,,,,,
"Telcocci, Gina",1969,Public Display : District 10 : Potrero Branch Library : 1616 20th Street,here and past here,,,,,,,,,
"Templeton, Mark",1969,Public Display : District 6 : 850 Bryant or Civic Center,85194,,,,,,,,,
"Terada, Edward Takeo",1969,Public Display : District 3 : Coit Tower,Sports,,,,,,,,,
"Thiebaud, Wayne",1969,Airport : Terminal 3,18th Street Downgrade,,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 3 : Market and Battery Streets,Mechanics Monument (Peter Donahue-1829-1885),,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 3 : Market and Montgomery,Native Sons Monument (Admission Day Monument),,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 3 : Market and Battery,Mechanics Monument (Peter Donahue-1829-1885),,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 1 : GGP : JFK,Ball Thrower,,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 1 : GGP : Music Concourse,Padre Junipero Serra (1713-1784),,,,,,,,,
"Tilden, Douglas",1969,Public Display : District 8 : Market and Dolores,"California Volunteers, Spanish American War, 1898",,,,,,,,,
"Torlakson, James",1969,Airport : T3,Behind Ted McCann's Garage,,,,,,,,,
"True, Laurel",1969,Public Display : District 10 : Ocean and Granada Avenues,Sun Spheres,,,,,,,,,
"True, Laurel",2011,,Lily Pod,Hayes Valley,"Hayes Valley Playground, Hayes and Webster streets",,,,,,,
"Uehara, Kinji",1969,Airport : Principal Property Manager's Office,The Red Horizon,,,,,,,,,
Vaea,1969,City Department : Health Center #3,Untitled,,,,,,,,,
Vaea,1969,City Department : Health Center #3,Untitled,,,,,,,,,
"Vaillancourt, Armand",1969,Public Display : District 3 : Embarcadero : Justin Herman Plaza,The Embarcadero Fountain,,,,,,,,,
VanDenberge,1971,Public Display : District 8 : Christopher Park : 5210 Diamond Heights Blvd.,Untitled,,5210 Diamond Heights Blvd,,,,,,,
"VanDenberge, Peter",1969,"Public Display : District 1 : GGP, Hall of Flowers",Garden of Alice,,,,,,,,,
"VanDenberge, Peter",1969,Public Display : District 11 : CCSF : Phelan Campus : Library,Jungle Scenes,,,,,,,,,
"Vidar, Frede",1969,Public Display : District 3 : Coit Tower,Department Store,,,,,,,,,
"Villamor, Manuel",1969,City Department : SFGH : 3rd Floor Courtyard : Mechanical Building,Untitled,,,,,,,,,
"Villamor, Manuel",1969,Airport : T3 : Boarding Area E,Untitled,,,,,,,,,
"Villegas, Victor Hugo Barranechea",1969,"Public Display : District 6 : UN Plaza, West end",Simon Bolivar,,,,,,,,,
"Volz, Herman",1969,Public Display : CCSF : Ocean Campus : Science Building : North and South Exteri,Education (Organic and Inorganic Science),,,,,,,,,
"VonMeyer, Michael",1969,"Public Display : District 1 : GGP, Children's Playground",The Child,,,,,,,,,
"Voulkos, Peter",1969-1971,Public Display : Hall of Justice : 850 Bryant at 7th St. : West Corner Lawn,Untitled,,,,,,,,,
"Wagner, Catherine",1969,Public Display : District 4 : Sava Pool : 19th Avenue and Ulloa,Swimmer's Waves,,,,,,,,,
"Walburg, Gerald",1969,City Department : SFGH : Main Quad,Stiff Loops (Loop IV),,,,,,,,,
"Walter, Edgar",1969,Museum : District 1 : GGP : Academy of Sciences,Ignatz and Sigmund Steinhart (1840-1917),,,,,,,,,
"Washington, Horace",1969,Public Display : District 5 : Hamilton Pool : 1900 Geary Blvd.,Untitled,,1900 Geary Blvd,,,,,,,
"Washington, Horace",1969,City Department : SFPD : Northern Station,Untitled,,,,,,,,,
"Wehrle, John",1969,City Department : SFPL: Ocean View Branch,Words Fly Away,,345 Randolph St,,,,,,,
"Wessels, Glenn",1969,Public Display : District 7 : Laguna Honda Hospital,"Fire, Earth, Water, Air, The Professions",,,,,,,,,
"Wight, Clifford",1969,Public Display : District 3 : Coit Tower,Farmer and Cowboy,,,,,,,,,
"Wight, Clifford",1969,Public Display : District 3 : Coit Tower,Surveyor and Steelworker,,,,,,,,,
"Wiley, William",1969,Airport : T3 : Gates 89-90,Void,,,,,,,,,
"Wong, Al",1969,"City Department : Fire Station #2, 1340 Powell",Light Clouds,,,,,,,,,
"Wonner, Paul",1981,Public Display : District 6 : Moscone Center,Souvenir of San Francisco,SoMa,"Moscone Convention Center, Mezzanine level, Howard Street between 3rd and 4th Streets",,,,,,,
Wowhaus,1969,Public Display : Sunnyside Conservatory : 236 Monterey Blvd.,Sunnyside Menagerie,,236 Monterey Blvd,,,,,,,
"Yung, Rene",1969,"Public Display : District 3 : SFPL, Chinatown : 1135 Powell : Reading Room",Take Root,,1135 Powell St,,,,,,,
"Zajac, Jack",1969,Airport : T1 : Boarding Area C,Falling Water Santa Cruz II,,,,,,,,,
"Zakheim, Bernard Baruch",1969,Public Display : District 3 : Coit Tower,Library,,,,,,,,,
"Zed, Dana",1969,Public Display : District 10 : Portola Branch Library : Bacon and Goettengen Str,California Wildflowers,,,,,,,,,
"Zoell, Bob",1969,Airport : T-2 : Secure Connector,Untitled [frosted glass panels],,,,,,,,,
"Oldenburg, Claes & van Bruggen, Coosje",2002,,Cupid’s Span,Embarcadero,Embarcadero at Folsom St.,,,,,,,
Multiple,,,Clarion Alley Murals,Mission,Clarion Alley between 17th & 18th St.,,,,,,,
"Alavi, Seyed",2006-2007,,Golden Gateway,Hayes Valley,"Patricia’s Green, Hayes St. & Octavia Blvd.",,,,,,,
"Best, David",2005,,Untitled,Hayes Valley,"Patricia’s Green, Hayes St. & Octavia Blvd.",,,,,,,
"Diller, Elizabeth",2003,,Facsimile,SoMa,"Moscone Center, Howard between 3rd & 4th St.",,,,,,,
"Dougherty, Patrick",2009,,Untitled,Civic Center,Civic Center Plaza,,,,,,,
"Gordon, David & Shum, Hilda",2003,,Tree,SoMa,"Moscone Convention Center, West Lobby, Howard between 3rd and 4th Streets",,,,,,,
"Huan, Zhang",2008,,Three Heads Six Arms,Civic Center,Civic Center Plaza,,,,,,,
"Kahn, Ned",2012,,Firefly,Civic Center,525 Golden Gate,,,,,,,
"Labat, Tony",2009,,Big Peace IV,Hayes Valley,Patricia’s Green at Hayes Street and Octavia Boulevard,,,,,,,
"Mark, Carolyna",2002,,The Flower Inside Us Grows,Mission,"Mission Street Bus Bulbs, 150 Otis Street, between McCoppin and 13th Streets",,,,,,,
"Bartalos, Michael",2012,,Mission Parade,Mission,Valencia & 19th St.,,,,,,,
"Montoya, Emmanuel C.",1999,,"Dieties of Knowledge, Culture & Literature",Mission,"Mission Branch Library, 300 Bartlett St. and 24th St.",,,,,,,
"Schnell, Jovi",2010-2011,,Evolves the Luminous Flora,SoMa,"Tutubi Plaza, Russ Street between Minna and Natoma streets",,,,,,,
"Valdes, Manolo",2008,,Manolo Valdes in San Francisco,Civic Center,Civic Center Plaza,,,,,,,
"Wang, Po Shu",2005,,Ghinlon/Transcope,Hayes Valley,Octavia Boulevard from Market to Hayes Streets,,,,,,,
,,,,,,,,,,,,
